inquiry_id,item_no,material_id,inquiry_quantity,unit,expected_unit_price,item_remarks
INQ-20250704-002,1,MAT-10025,260.0,套,204.53,支持
INQ-20250704-002,2,MAT-10003,385.0,件,345.07,方法
INQ-20250704-002,3,MAT-10004,359.0,套,137.55,感觉
INQ-20250704-003,1,MAT-10024,488.0,套,361.45,网络
INQ-20250704-003,2,MAT-10005,179.0,套,295.84,谢谢
INQ-20250704-003,3,MAT-10005,470.0,件,490.83,当前
INQ-20250705-001,1,MAT-10013,40.0,件,362.61,浏览
INQ-20250705-001,2,MAT-10020,424.0,箱,351.43,控制
INQ-20250705-001,3,MAT-10043,27.0,件,429.22,国际
INQ-20250705-002,1,MAT-10036,64.0,箱,105.02,用户
INQ-20250705-002,2,MAT-10029,33.0,套,244.51,只要
INQ-20250705-002,3,MAT-10047,152.0,箱,93.5,科技
INQ-20250705-003,1,MAT-10015,316.0,件,13.63,一点
INQ-20250705-003,2,MAT-10004,265.0,箱,154.24,如此
INQ-20250705-003,3,MAT-10004,296.0,箱,436.38,最大
INQ-20250706-001,1,MAT-10040,393.0,箱,314.9,日期
INQ-20250706-001,2,MAT-10049,76.0,箱,229.06,管理
INQ-20250706-001,3,MAT-10022,276.0,套,359.35,如何
INQ-20250706-002,1,MAT-10024,466.0,个,113.41,两个
INQ-20250706-002,2,MAT-10027,218.0,套,364.77,经验
INQ-20250706-002,3,MAT-10047,317.0,个,86.82,欢迎
INQ-20250706-003,1,MAT-10044,155.0,件,50.71,非常
INQ-20250706-003,2,MAT-10040,39.0,个,25.88,今年
INQ-20250706-003,3,MAT-10021,36.0,件,27.02,注意
INQ-20250707-001,1,MAT-10036,18.0,件,81.37,需要
INQ-20250707-001,2,MAT-10031,353.0,件,101.51,投资
INQ-20250707-001,3,MAT-10017,415.0,套,42.3,她的
INQ-20250707-002,1,MAT-10030,320.0,件,210.46,市场
INQ-20250707-002,2,MAT-10026,47.0,个,26.57,不过
INQ-20250707-002,3,MAT-10031,130.0,箱,166.25,问题
INQ-20250707-003,1,MAT-10033,451.0,个,376.98,还有
INQ-20250707-003,2,MAT-10007,155.0,箱,61.83,国内
INQ-20250707-003,3,MAT-10030,460.0,套,49.06,无法
INQ-20250708-001,1,MAT-10001,247.0,件,186.38,以上
INQ-20250708-001,2,MAT-10002,461.0,件,261.96,日期
INQ-20250708-001,3,MAT-10039,216.0,箱,87.65,孩子
INQ-20250708-002,1,MAT-10017,368.0,箱,247.08,需要
INQ-20250708-002,2,MAT-10021,141.0,个,273.53,因此
INQ-20250708-002,3,MAT-10027,411.0,套,392.51,品牌
INQ-20250708-003,1,MAT-10027,459.0,个,255.83,电子
INQ-20250708-003,2,MAT-10010,67.0,箱,43.04,内容
INQ-20250708-003,3,MAT-10011,143.0,个,383.75,同时
INQ-20250709-001,1,MAT-10005,395.0,箱,457.85,等级
INQ-20250709-001,2,MAT-10015,255.0,个,394.69,活动
INQ-20250709-001,3,MAT-10009,152.0,套,223.06,最新
INQ-20250709-002,1,MAT-10012,408.0,套,189.0,表示
INQ-20250709-002,2,MAT-10004,277.0,箱,194.02,公司
INQ-20250709-002,3,MAT-10005,170.0,套,497.66,一次
INQ-20250709-003,1,MAT-10042,208.0,套,313.51,感觉
INQ-20250709-003,2,MAT-10049,151.0,个,479.45,公司
INQ-20250709-003,3,MAT-10030,18.0,件,326.56,软件
INQ-20250710-001,1,MAT-10022,449.0,套,165.07,技术
INQ-20250710-001,2,MAT-10048,18.0,个,367.16,这里
INQ-20250710-001,3,MAT-10050,179.0,箱,428.67,点击
INQ-20250710-002,1,MAT-10043,389.0,件,90.92,还有
INQ-20250710-002,2,MAT-10036,137.0,个,212.21,推荐
INQ-20250710-002,3,MAT-10038,358.0,套,397.7,业务
INQ-20250710-003,1,MAT-10012,12.0,个,462.28,主要
INQ-20250710-003,2,MAT-10028,367.0,套,332.62,系列
INQ-20250710-003,3,MAT-10025,390.0,套,418.64,应该
INQ-20250711-001,1,MAT-10030,204.0,套,179.29,帮助
INQ-20250711-001,2,MAT-10019,479.0,个,234.15,可以
INQ-20250711-001,3,MAT-10044,27.0,个,150.64,一起
INQ-20250711-002,1,MAT-10006,481.0,个,400.36,报告
INQ-20250711-002,2,MAT-10009,128.0,件,215.23,问题
INQ-20250711-002,3,MAT-10042,361.0,件,427.7,目前
INQ-20250711-003,1,MAT-10045,491.0,件,444.6,世界
INQ-20250711-003,2,MAT-10007,437.0,套,367.46,自己
INQ-20250711-003,3,MAT-10003,298.0,箱,128.37,参加
INQ-20250712-001,1,MAT-10022,498.0,箱,128.86,分析
INQ-20250712-001,2,MAT-10037,98.0,套,73.44,已经
INQ-20250712-001,3,MAT-10035,345.0,件,122.99,之后
INQ-20250712-002,1,MAT-10013,231.0,件,408.68,次数
INQ-20250712-002,2,MAT-10022,255.0,个,23.87,首页
INQ-20250712-002,3,MAT-10022,335.0,套,94.47,处理
INQ-20250712-003,1,MAT-10029,344.0,套,407.28,表示
INQ-20250712-003,2,MAT-10024,422.0,个,224.91,现在
INQ-20250712-003,3,MAT-10011,425.0,个,117.48,汽车
INQ-20250713-001,1,MAT-10019,13.0,箱,209.52,大家
INQ-20250713-001,2,MAT-10037,55.0,套,470.15,论坛
INQ-20250713-001,3,MAT-10005,121.0,件,224.4,回复
INQ-20250713-002,1,MAT-10030,66.0,件,480.02,时候
INQ-20250713-002,2,MAT-10029,232.0,个,285.37,关于
INQ-20250713-002,3,MAT-10046,102.0,箱,56.16,认为
INQ-20250713-003,1,MAT-10045,415.0,箱,301.25,内容
INQ-20250713-003,2,MAT-10004,91.0,个,126.21,不能
INQ-20250713-003,3,MAT-10041,152.0,套,424.45,喜欢
INQ-20250714-001,1,MAT-10033,327.0,件,290.38,只要
INQ-20250714-001,2,MAT-10040,46.0,套,37.56,以上
INQ-20250714-001,3,MAT-10028,480.0,件,77.2,其中
INQ-20250714-002,1,MAT-10024,76.0,件,120.45,必须
INQ-20250714-002,2,MAT-10031,489.0,件,74.76,实现
INQ-20250714-002,3,MAT-10008,101.0,套,225.84,广告
INQ-20250714-003,1,MAT-10047,38.0,箱,407.31,说明
INQ-20250714-003,2,MAT-10044,228.0,件,182.13,你的
INQ-20250714-003,3,MAT-10014,61.0,个,436.49,很多
INQ-20250715-001,1,MAT-10002,31.0,个,369.81,市场
INQ-20250715-001,2,MAT-10019,119.0,套,100.13,科技
INQ-20250715-001,3,MAT-10046,340.0,套,419.47,决定
INQ-20250715-002,1,MAT-10031,367.0,个,57.82,但是
INQ-20250715-002,2,MAT-10043,10.0,套,489.33,公司
INQ-20250715-002,3,MAT-10039,365.0,套,46.73,一种
INQ-20250715-003,1,MAT-10005,350.0,套,219.57,没有
INQ-20250715-003,2,MAT-10003,244.0,件,155.77,国内
INQ-20250715-003,3,MAT-10041,58.0,件,228.98,比较
INQ-20250716-001,1,MAT-10031,272.0,套,441.81,手机
INQ-20250716-001,2,MAT-10043,126.0,套,116.92,喜欢
INQ-20250716-001,3,MAT-10019,318.0,个,320.64,问题
INQ-20250716-002,1,MAT-10009,36.0,个,121.25,以及
INQ-20250716-002,2,MAT-10030,105.0,箱,453.33,注册
INQ-20250716-002,3,MAT-10011,125.0,个,368.15,方式
INQ-20250716-003,1,MAT-10027,441.0,个,217.95,两个
INQ-20250716-003,2,MAT-10032,373.0,个,406.2,行业
INQ-20250716-003,3,MAT-10014,18.0,套,184.62,要求
INQ-20250717-001,1,MAT-10002,214.0,箱,138.59,发布
INQ-20250717-001,2,MAT-10032,227.0,箱,141.6,特别
INQ-20250717-001,3,MAT-10006,439.0,箱,306.53,知道
INQ-20250717-002,1,MAT-10030,227.0,套,493.8,拥有
INQ-20250717-002,2,MAT-10038,61.0,件,62.51,主题
INQ-20250717-002,3,MAT-10008,191.0,箱,245.33,单位
INQ-20250717-003,1,MAT-10033,249.0,套,443.36,工具
INQ-20250717-003,2,MAT-10032,436.0,个,293.05,孩子
INQ-20250717-003,3,MAT-10030,40.0,件,353.44,公司
INQ-20250718-001,1,MAT-10050,380.0,个,214.93,我的
INQ-20250718-001,2,MAT-10047,412.0,个,18.21,觉得
INQ-20250718-001,3,MAT-10030,425.0,个,110.6,相关
INQ-20250718-002,1,MAT-10032,133.0,个,482.45,搜索
INQ-20250718-002,2,MAT-10012,89.0,个,272.62,包括
INQ-20250718-002,3,MAT-10009,341.0,箱,103.88,为什
INQ-20250718-003,1,MAT-10002,411.0,个,327.25,类别
INQ-20250718-003,2,MAT-10010,386.0,个,395.5,经济
INQ-20250718-003,3,MAT-10049,82.0,个,305.22,选择
INQ-20250719-001,1,MAT-10024,100.0,件,105.79,部门
INQ-20250719-001,2,MAT-10007,54.0,箱,479.54,是一
INQ-20250719-001,3,MAT-10009,89.0,件,123.22,位置
INQ-20250719-002,1,MAT-10016,147.0,套,75.56,大家
INQ-20250719-002,2,MAT-10026,466.0,件,185.24,有些
INQ-20250719-002,3,MAT-10042,458.0,箱,481.54,大家
INQ-20250719-003,1,MAT-10039,442.0,套,493.94,方面
INQ-20250719-003,2,MAT-10014,466.0,箱,382.79,这样
INQ-20250719-003,3,MAT-10031,319.0,件,58.23,你的
INQ-20250720-001,1,MAT-10026,211.0,件,422.41,等级
INQ-20250720-001,2,MAT-10008,422.0,箱,190.55,活动
INQ-20250720-001,3,MAT-10003,265.0,箱,181.98,作品
INQ-20250720-002,1,MAT-10014,71.0,箱,378.58,质量
INQ-20250720-002,2,MAT-10043,316.0,箱,452.02,朋友
INQ-20250720-002,3,MAT-10012,374.0,套,354.2,因为
INQ-20250720-003,1,MAT-10025,53.0,个,294.95,通过
INQ-20250720-003,2,MAT-10017,157.0,件,279.29,说明
INQ-20250720-003,3,MAT-10044,248.0,套,68.41,制作
INQ-20250721-001,1,MAT-10027,201.0,箱,358.33,她的
INQ-20250721-001,2,MAT-10025,261.0,件,46.76,这种
INQ-20250721-001,3,MAT-10005,486.0,个,108.68,论坛
INQ-20250721-002,1,MAT-10026,426.0,套,236.93,那个
INQ-20250721-002,2,MAT-10025,58.0,箱,380.46,相关
INQ-20250721-002,3,MAT-10046,355.0,箱,270.0,标准
INQ-20250721-003,1,MAT-10005,86.0,箱,277.68,因为
INQ-20250721-003,2,MAT-10012,316.0,个,212.58,那么
INQ-20250721-003,3,MAT-10022,81.0,件,427.02,时间
INQ-20250722-001,1,MAT-10045,81.0,箱,379.78,的人
INQ-20250722-001,2,MAT-10020,393.0,套,173.79,提高
INQ-20250722-001,3,MAT-10005,295.0,套,118.27,包括
INQ-20250722-002,1,MAT-10021,283.0,个,96.63,一般
INQ-20250722-002,2,MAT-10028,436.0,套,429.96,选择
INQ-20250722-002,3,MAT-10035,95.0,件,376.39,看到
INQ-20250722-003,1,MAT-10025,368.0,个,393.21,日期
INQ-20250722-003,2,MAT-10039,47.0,套,95.68,作者
INQ-20250722-003,3,MAT-10007,246.0,件,299.46,简介
INQ-20250723-001,1,MAT-10007,69.0,件,205.22,能够
INQ-20250723-001,2,MAT-10045,305.0,箱,311.95,深圳
INQ-20250723-001,3,MAT-10016,195.0,件,227.98,下载
INQ-20250723-002,1,MAT-10007,70.0,个,459.45,各种
INQ-20250723-002,2,MAT-10018,28.0,套,256.64,方式
INQ-20250723-002,3,MAT-10024,98.0,箱,465.84,之间
INQ-20250723-003,1,MAT-10040,250.0,套,64.88,功能
INQ-20250723-003,2,MAT-10013,420.0,箱,237.89,发表
INQ-20250723-003,3,MAT-10022,195.0,个,304.73,规定
INQ-20250724-001,1,MAT-10006,226.0,箱,381.16,是否
INQ-20250724-001,2,MAT-10025,346.0,件,425.4,不断
INQ-20250724-001,3,MAT-10047,227.0,箱,395.53,我们
INQ-20250724-002,1,MAT-10038,64.0,件,441.14,会员
INQ-20250724-002,2,MAT-10003,299.0,套,124.32,为什
INQ-20250724-002,3,MAT-10018,339.0,套,315.45,开发
INQ-20250724-003,1,MAT-10037,310.0,套,439.46,相关
INQ-20250724-003,2,MAT-10026,389.0,个,386.77,经济
INQ-20250724-003,3,MAT-10038,495.0,套,216.46,一切
INQ-20250725-001,1,MAT-10005,30.0,箱,265.98,专业
INQ-20250725-001,2,MAT-10028,335.0,个,295.88,这个
INQ-20250725-001,3,MAT-10015,53.0,件,142.21,希望
INQ-20250725-002,1,MAT-10015,350.0,个,183.09,介绍
INQ-20250725-002,2,MAT-10009,67.0,件,498.66,人员
INQ-20250725-002,3,MAT-10036,463.0,套,485.73,如果
INQ-20250725-003,1,MAT-10026,221.0,件,75.93,社区
INQ-20250725-003,2,MAT-10040,414.0,个,204.96,本站
INQ-20250725-003,3,MAT-10017,41.0,件,276.6,国际
INQ-20250726-001,1,MAT-10005,35.0,套,316.45,根据
INQ-20250726-001,2,MAT-10037,274.0,件,462.61,浏览
INQ-20250726-001,3,MAT-10024,269.0,套,353.28,公司
INQ-20250726-002,1,MAT-10003,393.0,件,185.86,位置
INQ-20250726-002,2,MAT-10044,217.0,件,364.66,业务
INQ-20250726-002,3,MAT-10047,179.0,套,436.42,实现
INQ-20250726-003,1,MAT-10046,236.0,个,384.47,人员
INQ-20250726-003,2,MAT-10019,166.0,个,314.21,生活
INQ-20250726-003,3,MAT-10019,119.0,套,37.95,他的
INQ-20250727-001,1,MAT-10039,108.0,套,45.89,可是
INQ-20250727-001,2,MAT-10036,35.0,套,114.92,方法
INQ-20250727-001,3,MAT-10040,374.0,套,147.47,方面
INQ-20250727-002,1,MAT-10027,284.0,个,118.38,认为
INQ-20250727-002,2,MAT-10050,49.0,件,220.34,能够
INQ-20250727-002,3,MAT-10041,221.0,箱,69.34,同时
INQ-20250727-003,1,MAT-10027,457.0,个,349.94,增加
INQ-20250727-003,2,MAT-10022,380.0,箱,74.72,因为
INQ-20250727-003,3,MAT-10040,234.0,箱,404.91,上海
INQ-20250728-001,1,MAT-10047,277.0,件,475.99,一切
INQ-20250728-001,2,MAT-10025,279.0,套,199.32,一般
INQ-20250728-001,3,MAT-10045,228.0,套,360.21,系列
INQ-20250728-002,1,MAT-10015,105.0,箱,124.32,不断
INQ-20250728-002,2,MAT-10034,417.0,个,213.44,阅读
INQ-20250728-002,3,MAT-10029,72.0,个,331.55,一个
INQ-20250728-003,1,MAT-10017,108.0,件,290.46,位置
INQ-20250728-003,2,MAT-10025,35.0,件,353.41,继续
INQ-20250728-003,3,MAT-10042,55.0,套,136.64,更多
INQ-20250729-001,1,MAT-10037,200.0,个,196.71,一定
INQ-20250729-001,2,MAT-10040,146.0,个,88.99,全部
INQ-20250729-001,3,MAT-10009,479.0,件,23.8,谢谢
INQ-20250729-002,1,MAT-10015,328.0,件,239.72,更新
INQ-20250729-002,2,MAT-10039,341.0,件,390.29,不断
INQ-20250729-002,3,MAT-10039,476.0,套,192.97,部门
INQ-20250729-003,1,MAT-10020,33.0,套,153.72,中文
INQ-20250729-003,2,MAT-10002,467.0,箱,194.17,今年
INQ-20250729-003,3,MAT-10038,346.0,件,327.87,地址
INQ-20250730-001,1,MAT-10003,136.0,箱,71.75,销售
INQ-20250730-001,2,MAT-10026,379.0,个,316.94,标准
INQ-20250730-001,3,MAT-10033,91.0,个,15.29,浏览
INQ-20250730-002,1,MAT-10028,327.0,个,290.36,或者
INQ-20250730-002,2,MAT-10018,17.0,个,89.79,公司
INQ-20250730-002,3,MAT-10049,382.0,件,348.79,说明
INQ-20250730-003,1,MAT-10009,461.0,个,339.7,组织
INQ-20250730-003,2,MAT-10037,376.0,套,17.93,中国
INQ-20250730-003,3,MAT-10019,148.0,件,286.67,应用
INQ-20250731-001,1,MAT-10037,210.0,件,61.54,男人
INQ-20250731-001,2,MAT-10034,293.0,套,229.66,比较
INQ-20250731-001,3,MAT-10013,298.0,个,37.85,准备
INQ-20250731-002,1,MAT-10044,130.0,件,406.78,大小
INQ-20250731-002,2,MAT-10050,204.0,件,432.81,得到
INQ-20250731-002,3,MAT-10010,382.0,件,426.72,成功
INQ-20250731-003,1,MAT-10021,435.0,箱,150.36,销售
INQ-20250731-003,2,MAT-10029,490.0,件,323.21,美国
INQ-20250731-003,3,MAT-10020,270.0,件,373.11,可以
INQ-20250732-001,1,MAT-10047,244.0,套,96.7,责任
INQ-20250732-001,2,MAT-10041,36.0,箱,85.82,联系
INQ-20250732-001,3,MAT-10005,84.0,箱,474.52,非常
INQ-20250732-002,1,MAT-10009,410.0,套,265.87,只要
INQ-20250732-002,2,MAT-10004,389.0,箱,256.78,的人
INQ-20250732-002,3,MAT-10022,281.0,套,424.33,一下
INQ-20250732-003,1,MAT-10032,355.0,个,15.12,介绍
INQ-20250732-003,2,MAT-10028,216.0,个,301.08,或者
INQ-20250732-003,3,MAT-10035,391.0,件,220.69,销售
INQ-20250733-001,1,MAT-10004,190.0,个,409.3,的是
INQ-20250733-001,2,MAT-10024,421.0,套,230.54,查看
INQ-20250733-001,3,MAT-10027,49.0,套,51.88,能够
INQ-20250733-002,1,MAT-10048,333.0,件,333.6,这些
INQ-20250733-002,2,MAT-10032,98.0,个,105.93,一直
INQ-20250733-002,3,MAT-10037,172.0,箱,39.01,发表
INQ-20250733-003,1,MAT-10043,252.0,个,32.64,必须
INQ-20250733-003,2,MAT-10005,11.0,件,200.33,结果
INQ-20250733-003,3,MAT-10007,439.0,套,164.57,阅读
INQ-20250734-001,1,MAT-10039,485.0,件,348.59,发现
INQ-20250734-001,2,MAT-10001,221.0,箱,110.78,资料
INQ-20250734-001,3,MAT-10044,132.0,箱,248.04,原因
INQ-20250734-002,1,MAT-10013,76.0,个,443.28,觉得
INQ-20250734-002,2,MAT-10014,43.0,件,10.96,简介
INQ-20250734-002,3,MAT-10049,26.0,个,321.06,自己
INQ-20250734-003,1,MAT-10011,147.0,个,249.01,以及
INQ-20250734-003,2,MAT-10007,330.0,箱,242.79,报告
INQ-20250734-003,3,MAT-10044,33.0,件,239.27,一些
INQ-20250735-001,1,MAT-10050,14.0,个,389.2,安全
INQ-20250735-001,2,MAT-10011,367.0,个,408.3,解决
INQ-20250735-001,3,MAT-10002,139.0,套,153.44,文件
INQ-20250735-002,1,MAT-10029,191.0,个,239.09,不是
INQ-20250735-002,2,MAT-10045,191.0,套,469.28,注意
INQ-20250735-002,3,MAT-10040,98.0,套,42.44,合作
INQ-20250735-003,1,MAT-10034,348.0,个,67.28,地方
INQ-20250735-003,2,MAT-10045,438.0,箱,334.87,电影
INQ-20250735-003,3,MAT-10035,46.0,件,308.63,国际
INQ-20250736-001,1,MAT-10042,161.0,件,297.28,建设
INQ-20250736-001,2,MAT-10035,48.0,个,482.91,开发
INQ-20250736-001,3,MAT-10039,365.0,箱,399.26,解决
INQ-20250736-002,1,MAT-10046,25.0,个,420.04,大小
INQ-20250736-002,2,MAT-10038,159.0,个,411.71,是否
INQ-20250736-002,3,MAT-10005,58.0,个,382.46,技术
INQ-20250736-003,1,MAT-10005,401.0,套,38.08,技术
INQ-20250736-003,2,MAT-10017,303.0,箱,145.23,只有
INQ-20250736-003,3,MAT-10001,76.0,件,163.23,中心
INQ-20250737-001,1,MAT-10021,329.0,套,305.04,部分
INQ-20250737-001,2,MAT-10012,496.0,件,243.36,主题
INQ-20250737-001,3,MAT-10025,25.0,套,316.52,正在
INQ-20250737-002,1,MAT-10040,203.0,套,461.12,一个
INQ-20250737-002,2,MAT-10031,284.0,个,458.92,浏览
INQ-20250737-002,3,MAT-10033,322.0,个,115.97,使用
INQ-20250737-003,1,MAT-10006,318.0,件,354.23,还有
INQ-20250737-003,2,MAT-10031,132.0,箱,213.17,新闻
INQ-20250737-003,3,MAT-10037,106.0,件,368.07,结果
INQ-20250738-001,1,MAT-10033,24.0,套,345.73,积分
INQ-20250738-001,2,MAT-10012,215.0,个,28.42,同时
INQ-20250738-001,3,MAT-10025,197.0,箱,453.25,喜欢
INQ-20250738-002,1,MAT-10032,55.0,件,422.17,无法
INQ-20250738-002,2,MAT-10006,353.0,个,336.1,看到
INQ-20250738-002,3,MAT-10034,107.0,套,80.98,关系
INQ-20250738-003,1,MAT-10028,222.0,个,315.39,如此
INQ-20250738-003,2,MAT-10038,121.0,箱,66.5,但是
INQ-20250738-003,3,MAT-10013,423.0,件,307.44,支持
INQ-20250739-001,1,MAT-10043,219.0,件,71.59,法律
INQ-20250739-001,2,MAT-10034,296.0,个,36.97,继续
INQ-20250739-001,3,MAT-10031,172.0,箱,305.5,操作
INQ-20250739-002,1,MAT-10021,95.0,箱,394.42,电影
INQ-20250739-002,2,MAT-10011,218.0,套,189.97,注册
INQ-20250739-002,3,MAT-10009,73.0,套,442.21,发现
INQ-20250739-003,1,MAT-10036,358.0,件,444.99,提高
INQ-20250739-003,2,MAT-10035,50.0,箱,374.9,资料
INQ-20250739-003,3,MAT-10012,130.0,套,324.44,孩子
INQ-20250740-001,1,MAT-10046,319.0,箱,348.58,她的
INQ-20250740-001,2,MAT-10020,452.0,件,451.09,结果
INQ-20250740-001,3,MAT-10015,163.0,套,190.92,帖子
INQ-20250740-002,1,MAT-10001,254.0,套,112.23,行业
INQ-20250740-002,2,MAT-10045,180.0,个,212.86,环境
INQ-20250740-002,3,MAT-10027,74.0,箱,96.27,操作
INQ-20250740-003,1,MAT-10047,379.0,个,14.57,查看
INQ-20250740-003,2,MAT-10009,291.0,套,287.34,起来
INQ-20250740-003,3,MAT-10030,269.0,件,364.68,然后
INQ-20250741-001,1,MAT-10003,268.0,件,460.6,而且
INQ-20250741-001,2,MAT-10002,287.0,套,32.35,方面
INQ-20250741-001,3,MAT-10045,310.0,件,313.83,更新
INQ-20250741-002,1,MAT-10049,231.0,件,416.51,地方
INQ-20250741-002,2,MAT-10002,150.0,箱,384.13,社区
INQ-20250741-002,3,MAT-10024,81.0,件,178.69,法律
INQ-20250741-003,1,MAT-10004,476.0,套,280.26,文章
INQ-20250741-003,2,MAT-10046,27.0,箱,495.22,这样
INQ-20250741-003,3,MAT-10021,213.0,件,374.58,结果
INQ-20250742-001,1,MAT-10048,161.0,件,482.59,发展
INQ-20250742-001,2,MAT-10021,415.0,套,314.09,朋友
INQ-20250742-001,3,MAT-10026,26.0,个,357.68,因为
INQ-20250742-002,1,MAT-10013,146.0,个,377.22,推荐
INQ-20250742-002,2,MAT-10044,67.0,箱,33.4,网络
INQ-20250742-002,3,MAT-10037,422.0,套,324.37,各种
INQ-20250742-003,1,MAT-10007,197.0,套,182.39,上海
INQ-20250742-003,2,MAT-10035,174.0,件,96.67,帮助
INQ-20250742-003,3,MAT-10046,368.0,件,470.64,关于
INQ-20250743-001,1,MAT-10018,135.0,件,460.05,运行
INQ-20250743-001,2,MAT-10046,328.0,个,13.09,信息
INQ-20250743-001,3,MAT-10020,398.0,套,94.21,历史
INQ-20250743-002,1,MAT-10037,101.0,件,173.12,谢谢
INQ-20250743-002,2,MAT-10015,124.0,件,21.42,如果
INQ-20250743-002,3,MAT-10021,186.0,套,281.76,大家
INQ-20250743-003,1,MAT-10018,384.0,个,246.59,今天
INQ-20250743-003,2,MAT-10011,20.0,套,18.49,用户
INQ-20250743-003,3,MAT-10044,362.0,箱,478.79,类别
INQ-20250744-001,1,MAT-10013,356.0,箱,202.9,中心
INQ-20250744-001,2,MAT-10028,80.0,套,56.91,部门
INQ-20250744-001,3,MAT-10028,477.0,套,109.07,大小
INQ-20250744-002,1,MAT-10020,380.0,箱,301.56,你的
INQ-20250744-002,2,MAT-10037,252.0,套,214.89,一般
INQ-20250744-002,3,MAT-10035,284.0,个,156.4,非常
INQ-20250744-003,1,MAT-10031,132.0,件,345.34,那些
INQ-20250744-003,2,MAT-10006,113.0,件,28.46,软件
INQ-20250744-003,3,MAT-10047,334.0,件,71.81,更新
INQ-20250745-001,1,MAT-10017,429.0,个,272.7,正在
INQ-20250745-001,2,MAT-10037,220.0,个,90.09,男人
INQ-20250745-001,3,MAT-10050,93.0,箱,449.04,等级
INQ-20250745-002,1,MAT-10012,353.0,件,236.33,质量
INQ-20250745-002,2,MAT-10031,40.0,套,113.47,自己
INQ-20250745-002,3,MAT-10044,271.0,箱,95.06,组织
INQ-20250745-003,1,MAT-10011,305.0,个,87.79,发表
INQ-20250745-003,2,MAT-10011,190.0,套,403.69,继续
INQ-20250745-003,3,MAT-10010,482.0,箱,272.78,名称
INQ-20250746-001,1,MAT-10026,197.0,个,18.96,增加
INQ-20250746-001,2,MAT-10001,104.0,个,424.01,最新
INQ-20250746-001,3,MAT-10013,445.0,套,488.06,记者
INQ-20250746-002,1,MAT-10047,318.0,个,18.01,结果
INQ-20250746-002,2,MAT-10048,102.0,箱,140.64,不会
INQ-20250746-002,3,MAT-10007,138.0,个,473.99,注意
INQ-20250746-003,1,MAT-10036,396.0,个,206.79,当前
INQ-20250746-003,2,MAT-10041,292.0,箱,39.14,还有
INQ-20250746-003,3,MAT-10019,361.0,套,450.34,提高
INQ-20250747-001,1,MAT-10008,406.0,套,307.54,游戏
INQ-20250747-001,2,MAT-10037,465.0,个,66.34,两个
INQ-20250747-001,3,MAT-10044,104.0,件,48.61,社区
INQ-20250747-002,1,MAT-10041,357.0,套,318.45,朋友
INQ-20250747-002,2,MAT-10037,60.0,件,205.64,图片
INQ-20250747-002,3,MAT-10018,65.0,箱,488.51,生活
INQ-20250747-003,1,MAT-10034,372.0,箱,120.35,发展
INQ-20250747-003,2,MAT-10003,448.0,箱,487.25,关于
INQ-20250747-003,3,MAT-10045,377.0,箱,296.26,继续
INQ-20250748-001,1,MAT-10028,56.0,箱,161.19,这个
INQ-20250748-001,2,MAT-10029,225.0,个,307.95,国际
INQ-20250748-001,3,MAT-10007,112.0,个,120.1,威望
INQ-20250748-002,1,MAT-10006,429.0,个,155.83,进入
INQ-20250748-002,2,MAT-10031,244.0,箱,330.21,他们
INQ-20250748-002,3,MAT-10034,95.0,件,308.08,免费
INQ-20250748-003,1,MAT-10028,359.0,个,226.06,增加
