quotation_id,item_no,inquiry_item_id,material_id,quotation_quantity,unit_price,discount_rate,item_amount,unit
QUO-20250703-002,2,INQ-20250703-002-2,MAT-10022,72.0,282.07,0.01,20309.04,个
QUO-20250703-002,3,INQ-20250703-002-3,MAT-10047,148.0,77.8,0.1,11514.4,个
QUO-20250703-003,1,INQ-20250703-003-1,MAT-10002,180.0,195.67,0.01,35220.6,个
QUO-20250703-003,2,INQ-20250703-003-2,MAT-10021,147.0,157.46,0.11,23146.62,件
QUO-20250703-003,3,INQ-20250703-003-3,MAT-10039,181.0,295.56,0.06,53496.36,套
QUO-20250704-001,1,INQ-20250704-001-1,MAT-10041,30.0,284.7,0.06,8541.0,件
QUO-20250704-001,2,INQ-20250704-001-2,MAT-10009,138.0,263.6,0.08,36376.8,箱
QUO-20250704-001,3,INQ-20250704-001-3,MAT-10031,98.0,150.55,0.11,14753.9,箱
QUO-20250704-002,1,INQ-20250704-002-1,MAT-10048,121.0,277.2,0.13,33541.2,套
QUO-20250704-002,2,INQ-20250704-002-2,MAT-10024,183.0,204.08,0.11,37346.64,套
QUO-20250704-002,3,INQ-20250704-002-3,MAT-10020,120.0,165.09,0.13,19810.8,个
QUO-20250704-003,1,INQ-20250704-003-1,MAT-10008,95.0,144.22,0.11,13700.9,个
QUO-20250704-003,2,INQ-20250704-003-2,MAT-10034,98.0,177.43,0.03,17388.14,套
QUO-20250704-003,3,INQ-20250704-003-3,MAT-10035,105.0,82.12,0.05,8622.6,件
QUO-20250705-001,1,INQ-20250705-001-1,MAT-10048,186.0,157.91,0.11,29371.26,件
QUO-20250705-001,2,INQ-20250705-001-2,MAT-10042,188.0,117.95,0.11,22174.6,箱
QUO-20250705-001,3,INQ-20250705-001-3,MAT-10012,178.0,280.71,0.12,49966.38,套
QUO-20250705-002,1,INQ-20250705-002-1,MAT-10030,100.0,231.69,0.05,23169.0,箱
QUO-20250705-002,2,INQ-20250705-002-2,MAT-10035,129.0,95.21,0.02,12282.09,箱
QUO-20250705-002,3,INQ-20250705-002-3,MAT-10014,64.0,235.26,0.01,15056.64,箱
QUO-20250705-003,1,INQ-20250705-003-1,MAT-10028,113.0,218.55,0.14,24696.15,件
QUO-20250705-003,2,INQ-20250705-003-2,MAT-10015,48.0,245.41,0.01,11779.68,箱
QUO-20250705-003,3,INQ-20250705-003-3,MAT-10003,40.0,237.58,0.01,9503.2,个
QUO-20250706-001,1,INQ-20250706-001-1,MAT-10002,188.0,194.09,0.02,36488.92,件
QUO-20250706-001,2,INQ-20250706-001-2,MAT-10026,118.0,151.03,0.14,17821.54,个
QUO-20250706-001,3,INQ-20250706-001-3,MAT-10037,99.0,58.28,0.02,5769.72,箱
QUO-20250706-002,1,INQ-20250706-002-1,MAT-10017,117.0,256.11,0.03,29964.87,套
QUO-20250706-002,2,INQ-20250706-002-2,MAT-10039,12.0,269.88,0.06,3238.56,箱
QUO-20250706-002,3,INQ-20250706-002-3,MAT-10036,30.0,140.47,0.01,4214.1,套
QUO-20250706-003,1,INQ-20250706-003-1,MAT-10014,125.0,215.7,0.09,26962.5,套
QUO-20250706-003,2,INQ-20250706-003-2,MAT-10013,119.0,286.29,0.03,34068.51,件
QUO-20250706-003,3,INQ-20250706-003-3,MAT-10013,38.0,88.14,0.12,3349.32,件
QUO-20250707-001,1,INQ-20250707-001-1,MAT-10016,32.0,132.96,0.02,4254.72,件
QUO-20250707-001,2,INQ-20250707-001-2,MAT-10021,157.0,159.46,0.04,25035.22,箱
QUO-20250707-001,3,INQ-20250707-001-3,MAT-10002,108.0,203.53,0.01,21981.24,箱
QUO-20250707-002,1,INQ-20250707-002-1,MAT-10027,128.0,77.42,0.06,9909.76,箱
QUO-20250707-002,2,INQ-20250707-002-2,MAT-10046,79.0,138.12,0.09,10911.48,套
QUO-20250707-002,3,INQ-20250707-002-3,MAT-10013,175.0,278.89,0.14,48805.75,箱
QUO-20250707-003,1,INQ-20250707-003-1,MAT-10020,107.0,87.83,0.06,9397.81,箱
QUO-20250707-003,2,INQ-20250707-003-2,MAT-10021,119.0,57.12,0.07,6797.28,套
QUO-20250707-003,3,INQ-20250707-003-3,MAT-10011,155.0,129.14,0.05,20016.7,套
QUO-20250708-001,1,INQ-20250708-001-1,MAT-10014,76.0,272.72,0.13,20726.72,箱
QUO-20250708-001,2,INQ-20250708-001-2,MAT-10041,146.0,291.89,0.13,42615.94,箱
QUO-20250708-001,3,INQ-20250708-001-3,MAT-10049,34.0,233.95,0.1,7954.3,个
QUO-20250708-002,1,INQ-20250708-002-1,MAT-10001,8.0,180.87,0.09,1446.96,箱
QUO-20250708-002,2,INQ-20250708-002-2,MAT-10044,72.0,240.59,0.1,17322.48,箱
QUO-20250708-002,3,INQ-20250708-002-3,MAT-10029,190.0,261.57,0.11,49698.3,件
QUO-20250708-003,1,INQ-20250708-003-1,MAT-10040,99.0,247.33,0.07,24485.67,件
QUO-20250708-003,2,INQ-20250708-003-2,MAT-10049,69.0,265.75,0.02,18336.75,套
QUO-20250708-003,3,INQ-20250708-003-3,MAT-10042,59.0,143.87,0.11,8488.33,套
QUO-20250709-001,1,INQ-20250709-001-1,MAT-10020,191.0,156.64,0.11,29918.24,个
QUO-20250709-001,2,INQ-20250709-001-2,MAT-10002,99.0,91.68,0.06,9076.32,个
QUO-20250709-001,3,INQ-20250709-001-3,MAT-10009,30.0,170.27,0.03,5108.1,个
QUO-20250709-002,1,INQ-20250709-002-1,MAT-10026,30.0,227.02,0.05,6810.6,个
QUO-20250709-002,2,INQ-20250709-002-2,MAT-10011,111.0,150.64,0.09,16721.04,套
QUO-20250709-002,3,INQ-20250709-002-3,MAT-10001,157.0,146.52,0.12,23003.64,箱
QUO-20250709-003,1,INQ-20250709-003-1,MAT-10041,38.0,127.94,0.01,4861.72,箱
QUO-20250709-003,2,INQ-20250709-003-2,MAT-10029,183.0,298.64,0.03,54651.12,套
QUO-20250709-003,3,INQ-20250709-003-3,MAT-10040,81.0,196.31,0.05,15901.11,个
QUO-20250710-001,1,INQ-20250710-001-1,MAT-10012,110.0,170.02,0.14,18702.2,个
QUO-20250710-001,2,INQ-20250710-001-2,MAT-10018,127.0,204.97,0.08,26031.19,个
QUO-20250710-001,3,INQ-20250710-001-3,MAT-10021,178.0,124.51,0.09,22162.78,件
QUO-20250710-002,1,INQ-20250710-002-1,MAT-10014,140.0,163.8,0.03,22932.0,套
QUO-20250710-002,2,INQ-20250710-002-2,MAT-10045,171.0,278.67,0.1,47652.57,箱
QUO-20250710-002,3,INQ-20250710-002-3,MAT-10019,120.0,297.46,0.08,35695.2,件
QUO-20250710-003,1,INQ-20250710-003-1,MAT-10031,132.0,178.47,0.06,23558.04,件
QUO-20250710-003,2,INQ-20250710-003-2,MAT-10011,154.0,77.96,0.02,12005.84,箱
QUO-20250710-003,3,INQ-20250710-003-3,MAT-10009,79.0,79.48,0.04,6278.92,件
QUO-20250711-001,1,INQ-20250711-001-1,MAT-10011,196.0,115.04,0.11,22547.84,个
QUO-20250711-001,2,INQ-20250711-001-2,MAT-10023,132.0,169.13,0.09,22325.16,件
QUO-20250711-001,3,INQ-20250711-001-3,MAT-10005,35.0,65.55,0.03,2294.25,套
QUO-20250711-002,1,INQ-20250711-002-1,MAT-10016,143.0,104.58,0.05,14954.94,个
QUO-20250711-002,2,INQ-20250711-002-2,MAT-10008,44.0,239.11,0.08,10520.84,箱
QUO-20250711-002,3,INQ-20250711-002-3,MAT-10009,119.0,277.77,0.05,33054.63,件
QUO-20250711-003,1,INQ-20250711-003-1,MAT-10042,47.0,289.55,0.11,13608.85,箱
QUO-20250711-003,2,INQ-20250711-003-2,MAT-10009,68.0,165.25,0.09,11237.0,个
QUO-20250711-003,3,INQ-20250711-003-3,MAT-10033,200.0,234.98,0.1,46996.0,箱
QUO-20250712-001,1,INQ-20250712-001-1,MAT-10036,80.0,73.62,0.02,5889.6,套
QUO-20250712-001,2,INQ-20250712-001-2,MAT-10026,142.0,272.14,0.06,38643.88,套
QUO-20250712-001,3,INQ-20250712-001-3,MAT-10017,154.0,205.5,0.14,31647.0,件
QUO-20250712-002,1,INQ-20250712-002-1,MAT-10030,165.0,259.17,0.09,42763.05,个
QUO-20250712-002,2,INQ-20250712-002-2,MAT-10015,177.0,55.53,0.1,9828.81,件
QUO-20250712-002,3,INQ-20250712-002-3,MAT-10015,158.0,163.11,0.01,25771.38,件
QUO-20250712-003,1,INQ-20250712-003-1,MAT-10041,43.0,279.32,0.04,12010.76,件
QUO-20250712-003,2,INQ-20250712-003-2,MAT-10035,184.0,160.58,0.09,29546.72,箱
QUO-20250712-003,3,INQ-20250712-003-3,MAT-10003,59.0,149.58,0.08,8825.22,件
QUO-20250713-001,1,INQ-20250713-001-1,MAT-10023,13.0,274.55,0.14,3569.15,件
QUO-20250713-001,2,INQ-20250713-001-2,MAT-10016,177.0,77.05,0.0,13637.85,箱
QUO-20250713-001,3,INQ-20250713-001-3,MAT-10013,136.0,231.42,0.1,31473.12,件
QUO-20250713-002,1,INQ-20250713-002-1,MAT-10036,111.0,111.64,0.15,12392.04,套
QUO-20250713-002,2,INQ-20250713-002-2,MAT-10049,31.0,80.36,0.05,2491.16,件
QUO-20250713-002,3,INQ-20250713-002-3,MAT-10003,49.0,189.95,0.12,9307.55,套
QUO-20250713-003,1,INQ-20250713-003-1,MAT-10046,25.0,271.83,0.01,6795.75,箱
QUO-20250713-003,2,INQ-20250713-003-2,MAT-10016,135.0,113.41,0.06,15310.35,套
QUO-20250713-003,3,INQ-20250713-003-3,MAT-10043,106.0,110.57,0.04,11720.42,个
QUO-20250714-001,1,INQ-20250714-001-1,MAT-10043,131.0,178.78,0.0,23420.18,件
QUO-20250714-001,2,INQ-20250714-001-2,MAT-10012,64.0,245.63,0.08,15720.32,箱
QUO-20250714-001,3,INQ-20250714-001-3,MAT-10044,136.0,279.19,0.04,37969.84,套
QUO-20250714-002,1,INQ-20250714-002-1,MAT-10033,81.0,81.37,0.13,6590.97,件
QUO-20250714-002,2,INQ-20250714-002-2,MAT-10038,72.0,222.65,0.05,16030.8,件
QUO-20250714-002,3,INQ-20250714-002-3,MAT-10021,95.0,182.58,0.06,17345.1,个
QUO-20250714-003,1,INQ-20250714-003-1,MAT-10043,149.0,168.71,0.15,25137.79,个
QUO-20250714-003,2,INQ-20250714-003-2,MAT-10004,83.0,278.26,0.09,23095.58,件
QUO-20250714-003,3,INQ-20250714-003-3,MAT-10044,76.0,179.76,0.01,13661.76,件
QUO-20250715-001,1,INQ-20250715-001-1,MAT-10004,80.0,293.05,0.02,23444.0,个
QUO-20250715-001,2,INQ-20250715-001-2,MAT-10011,157.0,269.84,0.07,42364.88,箱
QUO-20250715-001,3,INQ-20250715-001-3,MAT-10010,166.0,163.71,0.04,27175.86,个
QUO-20250715-002,1,INQ-20250715-002-1,MAT-10032,59.0,65.18,0.12,3845.62,箱
QUO-20250715-002,2,INQ-20250715-002-2,MAT-10031,75.0,62.61,0.05,4695.75,件
QUO-20250715-002,3,INQ-20250715-002-3,MAT-10034,200.0,93.99,0.05,18798.0,个
QUO-20250715-003,1,INQ-20250715-003-1,MAT-10029,105.0,242.82,0.09,25496.1,件
QUO-20250715-003,2,INQ-20250715-003-2,MAT-10038,105.0,214.43,0.05,22515.15,个
QUO-20250715-003,3,INQ-20250715-003-3,MAT-10020,163.0,114.09,0.13,18596.67,个
QUO-20250716-001,1,INQ-20250716-001-1,MAT-10046,183.0,108.64,0.11,19881.12,个
QUO-20250716-001,2,INQ-20250716-001-2,MAT-10004,53.0,295.06,0.01,15638.18,箱
QUO-20250716-001,3,INQ-20250716-001-3,MAT-10039,7.0,288.71,0.0,2020.97,箱
QUO-20250716-002,1,INQ-20250716-002-1,MAT-10001,155.0,197.65,0.05,30635.75,套
QUO-20250716-002,2,INQ-20250716-002-2,MAT-10032,170.0,132.62,0.12,22545.4,件
QUO-20250716-002,3,INQ-20250716-002-3,MAT-10028,150.0,143.16,0.03,21474.0,箱
QUO-20250716-003,1,INQ-20250716-003-1,MAT-10031,114.0,111.61,0.01,12723.54,件
QUO-20250716-003,2,INQ-20250716-003-2,MAT-10009,129.0,76.61,0.11,9882.69,套
QUO-20250716-003,3,INQ-20250716-003-3,MAT-10008,117.0,291.37,0.09,34090.29,个
QUO-20250717-001,1,INQ-20250717-001-1,MAT-10002,52.0,275.14,0.01,14307.28,件
QUO-20250717-001,2,INQ-20250717-001-2,MAT-10023,83.0,234.77,0.07,19485.91,件
QUO-20250717-001,3,INQ-20250717-001-3,MAT-10041,116.0,252.73,0.12,29316.68,箱
QUO-20250717-002,1,INQ-20250717-002-1,MAT-10026,105.0,132.41,0.09,13903.05,套
QUO-20250717-002,2,INQ-20250717-002-2,MAT-10041,62.0,118.65,0.02,7356.3,件
QUO-20250717-002,3,INQ-20250717-002-3,MAT-10042,107.0,219.09,0.03,23442.63,箱
QUO-20250717-003,1,INQ-20250717-003-1,MAT-10007,40.0,103.87,0.08,4154.8,箱
QUO-20250717-003,2,INQ-20250717-003-2,MAT-10019,139.0,259.31,0.13,36044.09,箱
QUO-20250717-003,3,INQ-20250717-003-3,MAT-10021,16.0,245.61,0.14,3929.76,个
QUO-20250718-001,1,INQ-20250718-001-1,MAT-10031,80.0,92.83,0.01,7426.4,箱
QUO-20250718-001,2,INQ-20250718-001-2,MAT-10032,41.0,193.75,0.03,7943.75,套
QUO-20250718-001,3,INQ-20250718-001-3,MAT-10034,188.0,264.12,0.14,49654.56,件
QUO-20250718-002,1,INQ-20250718-002-1,MAT-10028,111.0,109.39,0.02,12142.29,个
QUO-20250718-002,2,INQ-20250718-002-2,MAT-10035,39.0,108.7,0.15,4239.3,件
QUO-20250718-002,3,INQ-20250718-002-3,MAT-10014,15.0,273.0,0.12,4095.0,套
QUO-20250718-003,1,INQ-20250718-003-1,MAT-10028,32.0,253.05,0.08,8097.6,箱
QUO-20250718-003,2,INQ-20250718-003-2,MAT-10025,193.0,130.25,0.06,25138.25,件
QUO-20250718-003,3,INQ-20250718-003-3,MAT-10022,162.0,194.93,0.14,31578.66,个
QUO-20250719-001,1,INQ-20250719-001-1,MAT-10023,126.0,234.04,0.1,29489.04,件
QUO-20250719-001,2,INQ-20250719-001-2,MAT-10017,171.0,277.83,0.09,47508.93,件
QUO-20250719-001,3,INQ-20250719-001-3,MAT-10049,29.0,241.36,0.15,6999.44,件
QUO-20250719-002,1,INQ-20250719-002-1,MAT-10038,96.0,133.86,0.06,12850.56,箱
QUO-20250719-002,2,INQ-20250719-002-2,MAT-10040,152.0,156.06,0.1,23721.12,件
QUO-20250719-002,3,INQ-20250719-002-3,MAT-10033,19.0,294.51,0.06,5595.69,个
QUO-20250719-003,1,INQ-20250719-003-1,MAT-10045,173.0,78.85,0.13,13641.05,箱
QUO-20250719-003,2,INQ-20250719-003-2,MAT-10030,158.0,213.46,0.01,33726.68,件
QUO-20250719-003,3,INQ-20250719-003-3,MAT-10012,144.0,62.43,0.08,8989.92,箱
QUO-20250720-001,1,INQ-20250720-001-1,MAT-10013,82.0,296.56,0.1,24317.92,件
QUO-20250720-001,2,INQ-20250720-001-2,MAT-10013,75.0,144.54,0.03,10840.5,箱
QUO-20250720-001,3,INQ-20250720-001-3,MAT-10028,9.0,276.02,0.05,2484.18,箱
QUO-20250720-002,1,INQ-20250720-002-1,MAT-10024,11.0,123.24,0.13,1355.64,件
QUO-20250720-002,2,INQ-20250720-002-2,MAT-10030,40.0,264.13,0.0,10565.2,箱
QUO-20250720-002,3,INQ-20250720-002-3,MAT-10024,124.0,146.21,0.13,18130.04,箱
QUO-20250720-003,1,INQ-20250720-003-1,MAT-10003,162.0,242.32,0.09,39255.84,套
QUO-20250720-003,2,INQ-20250720-003-2,MAT-10035,10.0,234.86,0.07,2348.6,件
QUO-20250720-003,3,INQ-20250720-003-3,MAT-10007,141.0,239.4,0.01,33755.4,件
QUO-20250721-001,1,INQ-20250721-001-1,MAT-10023,61.0,83.59,0.06,5098.99,个
QUO-20250721-001,2,INQ-20250721-001-2,MAT-10007,116.0,259.38,0.04,30088.08,箱
QUO-20250721-001,3,INQ-20250721-001-3,MAT-10001,183.0,55.45,0.09,10147.35,件
QUO-20250721-002,1,INQ-20250721-002-1,MAT-10039,42.0,207.28,0.01,8705.76,箱
QUO-20250721-002,2,INQ-20250721-002-2,MAT-10038,162.0,61.99,0.02,10042.38,套
QUO-20250721-002,3,INQ-20250721-002-3,MAT-10021,137.0,293.19,0.07,40167.03,件
QUO-20250721-003,1,INQ-20250721-003-1,MAT-10022,124.0,148.65,0.13,18432.6,个
QUO-20250721-003,2,INQ-20250721-003-2,MAT-10001,108.0,163.1,0.1,17614.8,箱
QUO-20250721-003,3,INQ-20250721-003-3,MAT-10025,156.0,162.1,0.08,25287.6,箱
QUO-20250722-001,1,INQ-20250722-001-1,MAT-10050,110.0,290.19,0.03,31920.9,箱
QUO-20250722-001,2,INQ-20250722-001-2,MAT-10032,155.0,246.86,0.12,38263.3,个
QUO-20250722-001,3,INQ-20250722-001-3,MAT-10030,154.0,265.48,0.06,40883.92,件
QUO-20250722-002,1,INQ-20250722-002-1,MAT-10047,183.0,250.61,0.0,45861.63,套
QUO-20250722-002,2,INQ-20250722-002-2,MAT-10034,48.0,254.88,0.15,12234.24,箱
QUO-20250722-002,3,INQ-20250722-002-3,MAT-10045,69.0,64.4,0.01,4443.6,件
QUO-20250722-003,1,INQ-20250722-003-1,MAT-10034,160.0,186.58,0.13,29852.8,套
QUO-20250722-003,2,INQ-20250722-003-2,MAT-10046,90.0,280.33,0.14,25229.7,箱
QUO-20250722-003,3,INQ-20250722-003-3,MAT-10027,153.0,216.18,0.11,33075.54,件
QUO-20250723-001,1,INQ-20250723-001-1,MAT-10006,20.0,139.53,0.05,2790.6,箱
QUO-20250723-001,2,INQ-20250723-001-2,MAT-10001,159.0,286.22,0.0,45508.98,箱
QUO-20250723-001,3,INQ-20250723-001-3,MAT-10034,24.0,61.74,0.07,1481.76,套
QUO-20250723-002,1,INQ-20250723-002-1,MAT-10006,20.0,105.91,0.03,2118.2,箱
QUO-20250723-002,2,INQ-20250723-002-2,MAT-10045,193.0,285.04,0.05,55012.72,套
QUO-20250723-002,3,INQ-20250723-002-3,MAT-10043,114.0,138.83,0.13,15826.62,箱
QUO-20250723-003,1,INQ-20250723-003-1,MAT-10036,112.0,74.35,0.03,8327.2,件
QUO-20250723-003,2,INQ-20250723-003-2,MAT-10010,65.0,137.75,0.12,8953.75,箱
QUO-20250723-003,3,INQ-20250723-003-3,MAT-10034,40.0,118.58,0.02,4743.2,个
QUO-20250724-001,1,INQ-20250724-001-1,MAT-10050,171.0,117.49,0.05,20090.79,套
QUO-20250724-001,2,INQ-20250724-001-2,MAT-10006,16.0,241.31,0.1,3860.96,套
QUO-20250724-001,3,INQ-20250724-001-3,MAT-10003,166.0,218.38,0.09,36251.08,箱
QUO-20250724-002,1,INQ-20250724-002-1,MAT-10015,196.0,110.39,0.15,21636.44,箱
QUO-20250724-002,2,INQ-20250724-002-2,MAT-10030,197.0,114.73,0.02,22601.81,个
QUO-20250724-002,3,INQ-20250724-002-3,MAT-10005,130.0,245.27,0.12,31885.1,箱
QUO-20250724-003,1,INQ-20250724-003-1,MAT-10024,186.0,203.14,0.08,37784.04,件
QUO-20250724-003,2,INQ-20250724-003-2,MAT-10014,41.0,105.3,0.0,4317.3,件
QUO-20250724-003,3,INQ-20250724-003-3,MAT-10017,120.0,288.09,0.07,34570.8,件
QUO-20250725-001,1,INQ-20250725-001-1,MAT-10004,58.0,72.14,0.01,4184.12,套
QUO-20250725-001,2,INQ-20250725-001-2,MAT-10002,123.0,155.01,0.11,19066.23,箱
QUO-20250725-001,3,INQ-20250725-001-3,MAT-10050,181.0,91.03,0.13,16476.43,箱
QUO-20250725-002,1,INQ-20250725-002-1,MAT-10048,66.0,149.31,0.09,9854.46,套
QUO-20250725-002,2,INQ-20250725-002-2,MAT-10004,171.0,97.5,0.07,16672.5,个
QUO-20250725-002,3,INQ-20250725-002-3,MAT-10022,139.0,292.98,0.1,40724.22,件
QUO-20250725-003,1,INQ-20250725-003-1,MAT-10020,157.0,269.86,0.06,42368.02,件
QUO-20250725-003,2,INQ-20250725-003-2,MAT-10020,175.0,272.46,0.15,47680.5,件
QUO-20250725-003,3,INQ-20250725-003-3,MAT-10002,21.0,160.19,0.08,3363.99,件
QUO-20250726-001,1,INQ-20250726-001-1,MAT-10039,40.0,167.67,0.13,6706.8,件
QUO-20250726-001,2,INQ-20250726-001-2,MAT-10024,60.0,91.11,0.01,5466.6,个
QUO-20250726-001,3,INQ-20250726-001-3,MAT-10038,39.0,58.69,0.12,2288.91,套
QUO-20250726-002,1,INQ-20250726-002-1,MAT-10039,109.0,118.84,0.11,12953.56,箱
QUO-20250726-002,2,INQ-20250726-002-2,MAT-10047,54.0,254.49,0.01,13742.46,套
QUO-20250726-002,3,INQ-20250726-002-3,MAT-10014,184.0,147.07,0.1,27060.88,个
QUO-20250726-003,1,INQ-20250726-003-1,MAT-10032,68.0,117.5,0.08,7990.0,箱
QUO-20250726-003,2,INQ-20250726-003-2,MAT-10026,80.0,143.24,0.08,11459.2,个
QUO-20250726-003,3,INQ-20250726-003-3,MAT-10026,35.0,170.48,0.14,5966.8,箱
QUO-20250727-001,1,INQ-20250727-001-1,MAT-10004,194.0,229.18,0.14,44460.92,套
QUO-20250727-001,2,INQ-20250727-001-2,MAT-10035,170.0,71.61,0.05,12173.7,个
QUO-20250727-001,3,INQ-20250727-001-3,MAT-10016,74.0,289.28,0.15,21406.72,个
QUO-20250727-002,1,INQ-20250727-002-1,MAT-10001,16.0,241.01,0.03,3856.16,件
QUO-20250727-002,2,INQ-20250727-002-2,MAT-10046,100.0,61.2,0.09,6120.0,个
QUO-20250727-002,3,INQ-20250727-002-3,MAT-10026,158.0,170.98,0.03,27014.84,套
QUO-20250727-003,1,INQ-20250727-003-1,MAT-10025,156.0,250.52,0.03,39081.12,件
QUO-20250727-003,2,INQ-20250727-003-2,MAT-10033,172.0,297.16,0.0,51111.52,套
QUO-20250727-003,3,INQ-20250727-003-3,MAT-10044,200.0,56.78,0.12,11356.0,箱
QUO-20250728-001,1,INQ-20250728-001-1,MAT-10043,19.0,180.88,0.14,3436.72,箱
QUO-20250728-001,2,INQ-20250728-001-2,MAT-10043,127.0,246.74,0.1,31335.98,个
QUO-20250728-001,3,INQ-20250728-001-3,MAT-10037,45.0,180.96,0.05,8143.2,个
QUO-20250728-002,1,INQ-20250728-002-1,MAT-10032,54.0,63.31,0.1,3418.74,箱
QUO-20250728-002,2,INQ-20250728-002-2,MAT-10021,167.0,119.48,0.15,19953.16,套
QUO-20250728-002,3,INQ-20250728-002-3,MAT-10006,168.0,111.04,0.05,18654.72,个
QUO-20250728-003,1,INQ-20250728-003-1,MAT-10049,102.0,50.96,0.04,5197.92,个
QUO-20250728-003,2,INQ-20250728-003-2,MAT-10044,172.0,299.65,0.11,51539.8,套
QUO-20250728-003,3,INQ-20250728-003-3,MAT-10031,150.0,66.35,0.02,9952.5,套
QUO-20250729-001,1,INQ-20250729-001-1,MAT-10047,35.0,98.37,0.08,3442.95,个
QUO-20250729-001,2,INQ-20250729-001-2,MAT-10001,45.0,152.29,0.02,6853.05,套
QUO-20250729-001,3,INQ-20250729-001-3,MAT-10040,149.0,145.77,0.01,21719.73,个
QUO-20250729-002,1,INQ-20250729-002-1,MAT-10018,146.0,122.32,0.03,17858.72,个
QUO-20250729-002,2,INQ-20250729-002-2,MAT-10016,72.0,194.3,0.07,13989.6,套
QUO-20250729-002,3,INQ-20250729-002-3,MAT-10022,32.0,297.36,0.09,9515.52,箱
QUO-20250729-003,1,INQ-20250729-003-1,MAT-10016,40.0,231.16,0.11,9246.4,个
QUO-20250729-003,2,INQ-20250729-003-2,MAT-10018,132.0,70.82,0.01,9348.24,箱
QUO-20250729-003,3,INQ-20250729-003-3,MAT-10008,140.0,164.31,0.06,23003.4,个
QUO-20250730-001,1,INQ-20250730-001-1,MAT-10044,37.0,248.66,0.06,9200.42,套
QUO-20250730-001,2,INQ-20250730-001-2,MAT-10029,68.0,269.33,0.14,18314.44,个
QUO-20250730-001,3,INQ-20250730-001-3,MAT-10032,21.0,226.42,0.03,4754.82,件
QUO-20250730-002,1,INQ-20250730-002-1,MAT-10049,150.0,232.74,0.07,34911.0,箱
QUO-20250730-002,2,INQ-20250730-002-2,MAT-10037,158.0,97.6,0.14,15420.8,个
QUO-20250730-002,3,INQ-20250730-002-3,MAT-10039,158.0,219.14,0.03,34624.12,个
QUO-20250730-003,1,INQ-20250730-003-1,MAT-10007,172.0,209.82,0.07,36089.04,箱
QUO-20250730-003,2,INQ-20250730-003-2,MAT-10040,151.0,121.19,0.07,18299.69,件
QUO-20250730-003,3,INQ-20250730-003-3,MAT-10013,117.0,134.23,0.13,15704.91,个
QUO-20250731-001,1,INQ-20250731-001-1,MAT-10034,175.0,255.91,0.08,44784.25,件
QUO-20250731-001,2,INQ-20250731-001-2,MAT-10037,76.0,101.01,0.13,7676.76,箱
QUO-20250731-001,3,INQ-20250731-001-3,MAT-10023,43.0,137.18,0.14,5898.74,个
QUO-20250731-002,1,INQ-20250731-002-1,MAT-10037,168.0,88.27,0.0,14829.36,个
QUO-20250731-002,2,INQ-20250731-002-2,MAT-10024,117.0,287.08,0.13,33588.36,箱
QUO-20250731-002,3,INQ-20250731-002-3,MAT-10047,70.0,59.17,0.11,4141.9,个
